profile_index,experiment_id,plurality_winner,plurality_vse,plurality_winner_rank,plurality_regret,plurality_condorcet_winner_exists,plurality_is_condorcet_winner,plurality_has_cycle,plurality_cycle_type,borda_winner,borda_vse,borda_winner_rank,borda_regret,borda_condorcet_winner_exists,borda_is_condorcet_winner,borda_has_cycle,borda_cycle_type,irv_winner,irv_vse,irv_winner_rank,irv_regret,irv_condorcet_winner_exists,irv_is_condorcet_winner,irv_has_cycle,irv_cycle_type,config_experiment_id,config_created_at,config_n_profiles,config_n_voters,config_n_candidates,config_voting_rules,config_geometry_method,config_geometry_n_dim,config_geometry_phi,config_manipulation_enabled,config_manipulation_fraction,config_manipulation_strategy,config_utility_function,config_utility_distance_metric,config_utility_sigma_factor,config_rng_seed,config_epsilon,config_heterogeneous_distance_enabled,agg_n_profiles,agg_vse_mean,agg_vse_std,agg_vse_min,agg_vse_max,agg_vse_median,agg_utility_mean,agg_utility_std,agg_regret_mean,agg_regret_max,agg_winner_rank_1st_pct,agg_winner_rank_2nd_pct,agg_winner_rank_3rd_pct,agg_condorcet_winner_pct,agg_condorcet_efficiency,agg_cycle_percentage,agg_type1_percentage,agg_type2_percentage,compute_time_seconds,saved_at
0,5a93e9cb,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,5a93e9cb,2025-12-30T21:31:40.006105,10,1000,3,"['plurality', 'borda', 'irv']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,,1e-09,False,10,0.9125418962423414,0.22898234625000355,0.23115750022849685,1.0,1.0,0.8011845281665373,0.04448927200220887,0.007184347274462754,0.06282023500876,70.0,30.0,0.0,100.0,70.0,0.0,0.0,0.0,0.24658309999995254,2025-12-30T21:31:40.669271
1,5a93e9cb,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,5a93e9cb,2025-12-30T21:31:40.006105,10,1000,3,"['plurality', 'borda', 'irv']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,,1e-09,False,10,0.9125418962423414,0.22898234625000355,0.23115750022849685,1.0,1.0,0.8011845281665373,0.04448927200220887,0.007184347274462754,0.06282023500876,70.0,30.0,0.0,100.0,70.0,0.0,0.0,0.0,0.24658309999995254,2025-12-30T21:31:40.669271
2,5a93e9cb,0,0.9924586442798812,1,0.0007840540104515625,True,False,False,0,1,1.0,0,0.0,True,True,False,0,0,0.9924586442798812,1,0.0007840540104515625,True,False,False,0,5a93e9cb,2025-12-30T21:31:40.006105,10,1000,3,"['plurality', 'borda', 'irv']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,,1e-09,False,10,0.9125418962423414,0.22898234625000355,0.23115750022849685,1.0,1.0,0.8011845281665373,0.04448927200220887,0.007184347274462754,0.06282023500876,70.0,30.0,0.0,100.0,70.0,0.0,0.0,0.0,0.24658309999995254,2025-12-30T21:31:40.669271
3,5a93e9cb,2,0.9018028179150362,1,0.008239183725415988,True,False,False,0,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,5a93e9cb,2025-12-30T21:31:40.006105,10,1000,3,"['plurality', 'borda', 'irv']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,,1e-09,False,10,0.9125418962423414,0.22898234625000355,0.23115750022849685,1.0,1.0,0.8011845281665373,0.04448927200220887,0.007184347274462754,0.06282023500876,70.0,30.0,0.0,100.0,70.0,0.0,0.0,0.0,0.24658309999995254,2025-12-30T21:31:40.669271
4,5a93e9cb,2,0.23115750022849685,1,0.06282023500876,True,False,False,0,1,1.0,0,0.0,True,True,False,0,2,0.23115750022849685,1,0.06282023500876,True,False,False,0,5a93e9cb,2025-12-30T21:31:40.006105,10,1000,3,"['plurality', 'borda', 'irv']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,,1e-09,False,10,0.9125418962423414,0.22898234625000355,0.23115750022849685,1.0,1.0,0.8011845281665373,0.04448927200220887,0.007184347274462754,0.06282023500876,70.0,30.0,0.0,100.0,70.0,0.0,0.0,0.0,0.24658309999995254,2025-12-30T21:31:40.669271
5,5a93e9cb,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,5a93e9cb,2025-12-30T21:31:40.006105,10,1000,3,"['plurality', 'borda', 'irv']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,,1e-09,False,10,0.9125418962423414,0.22898234625000355,0.23115750022849685,1.0,1.0,0.8011845281665373,0.04448927200220887,0.007184347274462754,0.06282023500876,70.0,30.0,0.0,100.0,70.0,0.0,0.0,0.0,0.24658309999995254,2025-12-30T21:31:40.669271
6,5a93e9cb,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,5a93e9cb,2025-12-30T21:31:40.006105,10,1000,3,"['plurality', 'borda', 'irv']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,,1e-09,False,10,0.9125418962423414,0.22898234625000355,0.23115750022849685,1.0,1.0,0.8011845281665373,0.04448927200220887,0.007184347274462754,0.06282023500876,70.0,30.0,0.0,100.0,70.0,0.0,0.0,0.0,0.24658309999995254,2025-12-30T21:31:40.669271
7,5a93e9cb,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,5a93e9cb,2025-12-30T21:31:40.006105,10,1000,3,"['plurality', 'borda', 'irv']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,,1e-09,False,10,0.9125418962423414,0.22898234625000355,0.23115750022849685,1.0,1.0,0.8011845281665373,0.04448927200220887,0.007184347274462754,0.06282023500876,70.0,30.0,0.0,100.0,70.0,0.0,0.0,0.0,0.24658309999995254,2025-12-30T21:31:40.669271
8,5a93e9cb,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,0,1.0,0,0.0,True,True,False,0,5a93e9cb,2025-12-30T21:31:40.006105,10,1000,3,"['plurality', 'borda', 'irv']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,,1e-09,False,10,0.9125418962423414,0.22898234625000355,0.23115750022849685,1.0,1.0,0.8011845281665373,0.04448927200220887,0.007184347274462754,0.06282023500876,70.0,30.0,0.0,100.0,70.0,0.0,0.0,0.0,0.24658309999995254,2025-12-30T21:31:40.669271
9,5a93e9cb,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,2,1.0,0,0.0,True,True,False,0,5a93e9cb,2025-12-30T21:31:40.006105,10,1000,3,"['plurality', 'borda', 'irv']",uniform,2,0.5,False,0.2,compromise,gaussian,l2,0.5,,1e-09,False,10,0.9125418962423414,0.22898234625000355,0.23115750022849685,1.0,1.0,0.8011845281665373,0.04448927200220887,0.007184347274462754,0.06282023500876,70.0,30.0,0.0,100.0,70.0,0.0,0.0,0.0,0.24658309999995254,2025-12-30T21:31:40.669271
